Restaurant_Name,Location,Cuisine,Rating,Address,Map
Star kabab - Dhanmondi 2,Dhanmondi,Kebab,4.3/5,"House No, Satmasjid Road, 22 বীর উত্তম এম এ রব সড়ক",https://maps.app.goo.gl/qQza6RjoLCoWi8Gm6
KFC Dhanmondi,Dhanmondi,Fried Chicken,4.1/5,"2, House, Abode Properties, # 12 Rd Number 5",https://maps.app.goo.gl/CZD8GeWnbrTNRDk57
Hakka Dhaka - Dhanmondi,Dhanmondi,Chinese,4.1/5,Ahmed And Kazi Tower Dhanmondi 2,https://maps.app.goo.gl/yXdFDRr8vx8NnLyJA
Hakka Dhaka - Dhanmondi,Dhanmondi,Chinese,4.1/5,"House No. 80, Road No. 8, A Satmasjid Road",https://maps.app.goo.gl/zXzommkzpQvRovoZA
Cheez - Dhanmondi,Dhanmondi,Pizza,4.2/5,"Rangs KB Square, 2nd Floor, 736 Satmasjid Road",https://maps.app.goo.gl/Lv466QAk1PsqfnYD7
Hot Hut - Dhanmondi,Dhanmondi,Italian,4/5,"House No 2/B Road, 12 Mirpur Rd",https://maps.app.goo.gl/MEAXUrnrSRs749TM9
Takeout - Dhanmondi,Dhanmondi,Fast Food,4.2/5,"736, Level - 3 No, Rang,s KB Square, 9/A Satmasjid Road",https://maps.app.goo.gl/xBUqUAe7ZT7vR8RH6
Chaap Ghor - Dhanmondi,Dhanmondi,Kebab,3.8/5,9/A Satmasjid Road,https://maps.app.goo.gl/cBewnhtCCFwseg9a7
Platinum Club Dhanmondi,Dhanmondi,Snacks,3.8/5,"2/A, Zigatola Bus Stand, Satmasjid Road",https://maps.app.goo.gl/qE5LpKEGTsNDy6Ea9
Lailaty,Dhanmondi,Rice Dishes,4.3/5,"Satmasjid Rd, House#54/1, Road#3/A",https://maps.app.goo.gl/JMS3LfMehYCtxGjCA
Bar-B-Q Tonite - Dhanmondi,Dhanmondi,Kebab,4/5,"House No.36, Road No.16 (NEW) , 27(OLD) Dhanmondi R/A",https://maps.app.goo.gl/LjQXdUd25SdunCtR9
TBC Dhanmondi,Dhanmondi,Japanese,4.1/5,"House #1/5, Block#D",https://maps.app.goo.gl/x14qgGk5dEbDZsyH6
Herfy - Dhanmondi,Dhanmondi,Fast Food,4.2/5,"Plot No: 38/2, Road No. 16 (New), 27 (Old), Dhanmondi R/A",https://maps.app.goo.gl/kF1MPiX8DZJfPZQ67
Panaderia - Dhanmondi,Dhanmondi,Chinese,4.1/5,House - 33 Road - 02,https://maps.app.goo.gl/r7beCRKpnYK6BP7C9
Chatime - Dhanmondi,Dhanmondi,Cafe,4.1/5,"4th floor, opposite of, Rd No. 14A",https://maps.app.goo.gl/bJ8y6cSVDsUFjY1N6
Pizzawala - Dhanmondi,Dhanmondi,Pizza,3.6/5,"House - 39/A, Rd No. 8",https://maps.app.goo.gl/ARDQEwzzuVpCt85w5
SLIEEZ,Dhanmondi,Fast Food,4/5,Satmasjid Road,https://maps.app.goo.gl/Zsme5hk2jh82dcew7
Aloush Dhanmondi,Dhanmondi,Fast Food,3.5/5,"RUPAYAN ZR PLAZA, Satmasjid Road Rd No 10A",https://maps.app.goo.gl/GCYc3dU3UhsZctYM6
Madchef - Dhanmondi,Dhanmondi,Fast Food,4.2/5,"Rangs KB Square, 4th Floor, House 49/A Satmasjid Road",https://maps.app.goo.gl/8GhUPf8hFUifM8uL7
Dosa Express - Dhanmondi,Dhanmondi,Indian,4/5,"2nd Floor, 754 Satmasjid Road",https://maps.app.goo.gl/2LU7c3mb4uLCRkuE8
Kacchi Bhai - Dhanmondi,Dhanmondi,Biryani,3.9/5,Dhaka,https://maps.app.goo.gl/1SKqCXCEy2Z2KTAg9
"Euro Hut, Dhanmondi 27",Dhanmondi,Fast Food,4.7/5,"GF No.: 6-7, H No.: 61, R No.: 6/A, Anam Rangs Plaza, Satmasjid Road, Dhanmondi",https://maps.app.goo.gl/HU3YAftWWXvA8Te16
Wasabi Dhanmondi,Dhanmondi,Dumpling,4.1/5,85 West,https://maps.app.goo.gl/pDgFcQer1G3SiEuU8
Chillox- Dhanmondi,Dhanmondi,Burgers,4.1/5,"Level - 3, AMM Center, 56/A Rd 3A",https://maps.app.goo.gl/4x4Pkjc7t3B9ESYe9
Bella Italia - Dhanmondi,Dhanmondi,Italian,4.4/5,"Dhanmondi ADC Empire Plaza, (1st Floor), Plot 91, Road 12/A, Satmasjid Road, Opposite Pizza Hut, Dhanmondi",https://maps.app.goo.gl/QEFnHK1tcGKMCycU9
Pizza Burg - Dhanmondi,Dhanmondi,Pizza,3.9/5,754 Satmasjid Road,https://maps.app.goo.gl/s2NcntYMxuwfXXTFA
